t	x	v
3.220000	-1.012321	0.089621
3.230000	-1.011425	0.099744
3.240000	-1.010427	0.109858
3.250000	-1.009329	0.119962
3.260000	-1.008129	0.130056
3.270000	-1.006829	0.140137
3.280000	-1.005427	0.150205
3.290000	-1.003925	0.160260
3.300000	-1.002323	0.170299
3.310000	-1.000620	0.180322
3.320000	-0.998816	0.190328
3.330000	-0.996913	0.200316
3.340000	-0.994910	0.210286
3.350000	-0.992807	0.220235
3.360000	-0.990605	0.230163
3.370000	-0.988303	0.240069
3.380000	-0.985902	0.249952
3.390000	-0.983403	0.259811
3.400000	-0.980805	0.269645
3.410000	-0.978108	0.279453
3.420000	-0.975314	0.289234
3.430000	-0.972421	0.298987
3.440000	-0.969432	0.308711
3.450000	-0.966344	0.318406
3.460000	-0.963160	0.328069
3.470000	-0.959880	0.337701
3.480000	-0.956503	0.347299
3.490000	-0.953030	0.356864
3.500000	-0.949461	0.366395
3.510000	-0.945797	0.375889
3.520000	-0.942038	0.385347
3.530000	-0.938185	0.394768
3.540000	-0.934237	0.404150
3.550000	-0.930196	0.413492
3.560000	-0.926061	0.422794
3.570000	-0.921833	0.432055
3.580000	-0.917512	0.441273
3.590000	-0.913099	0.450448
3.600000	-0.908595	0.459579
3.610000	-0.903999	0.468665
3.620000	-0.899313	0.477705
3.630000	-0.894535	0.486698
3.640000	-0.889669	0.495643
3.650000	-0.884712	0.504540
3.660000	-0.879667	0.513387
3.670000	-0.874533	0.522184
3.680000	-0.869311	0.530929
3.690000	-0.864002	0.539622
3.700000	-0.858605	0.548262
3.710000	-0.853123	0.556848
3.720000	-0.847554	0.565380
3.730000	-0.841901	0.573855
3.740000	-0.836162	0.582274
3.750000	-0.830339	0.590636
3.760000	-0.824433	0.598939
3.770000	-0.818444	0.607183
3.780000	-0.812372	0.615368
3.790000	-0.806218	0.623492
3.800000	-0.799983	0.631554
3.810000	-0.793668	0.639554
3.820000	-0.787272	0.647490
3.830000	-0.780797	0.655363
3.840000	-0.774243	0.663171
3.850000	-0.767612	0.670913
3.860000	-0.760903	0.678590
3.870000	-0.754117	0.686199
3.880000	-0.747255	0.693740
3.890000	-0.740317	0.701212
3.900000	-0.733305	0.708615
3.910000	-0.726219	0.715949
3.920000	-0.719060	0.723211
3.930000	-0.711827	0.730401
3.940000	-0.704523	0.737520
3.950000	-0.697148	0.744565
3.960000	-0.689703	0.751536
3.970000	-0.682187	0.758433
3.980000	-0.674603	0.765255
3.990000	-0.666950	0.772001
4.000000	-0.659230	0.778671
4.010000	-0.651444	0.785263
4.020000	-0.643591	0.791777
4.030000	-0.635673	0.798213
4.040000	-0.627691	0.804570
4.050000	-0.619645	0.810847
4.060000	-0.611537	0.817043
4.070000	-0.603366	0.823159
4.080000	-0.595135	0.829193
4.090000	-0.586843	0.835144
4.100000	-0.578492	0.841012
4.110000	-0.570081	0.846797
4.120000	-0.561613	0.852498
4.130000	-0.553088	0.858114
4.140000	-0.544507	0.863645
4.150000	-0.535871	0.869090
4.160000	-0.527180	0.874449
4.170000	-0.518435	0.879721
4.180000	-0.509638	0.884905
4.190000	-0.500789	0.890001
4.200000	-0.491889	0.895009
4.210000	-0.482939	0.899928
4.220000	-0.473940	0.904758
4.230000	-0.464892	0.909497
4.240000	-0.455797	0.914146
4.250000	-0.446656	0.918704
4.260000	-0.437469	0.923170
4.270000	-0.428237	0.927545
4.280000	-0.418962	0.931827
4.290000	-0.409643	0.936017
4.300000	-0.400283	0.940114
4.310000	-0.390882	0.944116
4.320000	-0.381441	0.948025
4.330000	-0.371961	0.951840
4.340000	-0.362442	0.955559
4.350000	-0.352887	0.959184
4.360000	-0.343295	0.962712
4.370000	-0.333668	0.966145
4.380000	-0.324006	0.969482
4.390000	-0.314311	0.972722
4.400000	-0.304584	0.975865
4.410000	-0.294826	0.978911
4.420000	-0.285036	0.981859
4.430000	-0.275218	0.984710
4.440000	-0.265371	0.987462
4.450000	-0.255496	0.990116
4.460000	-0.245595	0.992671
4.470000	-0.235668	0.995127
4.480000	-0.225717	0.997483
